¶ Letres certaines dau	¶ Letres certaines d’au¬
seigner/ exhorter/ ⁊ pour cõuaincre les cõ	seigner/ exhorter/ et pour convaincre les con¬
tredisans/ ausquelz fault boucher et fer¬	tredisans/ ausquelz fault boucher et fer¬
le feu/ leaue/ la corde et le bourreau/ par	le feu/ leave/ la corde et le bourreau/ par
prisons ⁊ rauissemẽs des biẽs: mais par	prisons et ravissemens des biens: mais par
saine doctrine. Et en cecy doit ueiller le	saine doctrine. Et en cecy doit veiller le
Prestre/ Leuesque/ cõme bon ministre de	Prestre/ L’evesque/ comme bon ministre de
ple soit parfaict a Dieu/ linstruysãt/ cor	ple soit parfaict a Dieu/ l’instruysant/ cor¬
rigeant/ admõnestant/ reprenant par la	rigeant/ admonnestant/ reprenant par la
saincte escripture/ qui est ꝓpre a ce. 2.Ti	saincte escripture/ qui est propre a ce. 2.Ti¬
mothee.3. Et ce que uous amenez que	mothee.3. Et ce que vous amenez que
Euesques sont au lieu des Apostres/ et	Evesques sont au lieu des Apostres/ et
pleut a Dieu quilz ne fussent au lieu de	pleut a Dieu qu’ilz ne fussent au lieu de
Iudas. Et que les disciples estoiẽt Pre¬	Judas. Et que les disciples estoient Pre¬
stres/ ⁊ les Prestres sont au lieu des dis¬	stres/ et les Prestres sont au lieu des dis¬
cõment Timothee nestoit point Apostre	comment Timothee n’estoit point Apostre
mais disciple. Actes.16. ⁊ ainsi estoit par	mais disciple. Actes.16. et ainsi estoit par
uous simple Prestre ⁊ nõ Euesque. Et	vous simple Prestre et non Evesque. Et
cõment seroit ce qung simple Prestre con	comment seroit ce q’ung simple Prestre con¬
mothee en a la charge/ et Tite aussi qui	mothee en a la charge/ et Tite aussi qui
nestoiẽt point Apostres/ mais disciples?	n’estoient point Apostres/ mais disciples?
La premiere Eglise de Dieu na point	La premiere Eglise de Dieu n’a point
sceu telle distinction ne superiorite: mais	sceu telle distinction ne superiorite: mais
que dominer ⁊ non de seruir/ au contraire	que dominer et non de servir/ au contraire
de Iesus qui est uenu pour seruir ⁊ non	de Jesus qui est venu pour servir et non
point poͬ estre seruy. Et puys quauez	point pour estre servy. Et puys qu’avez
amene ce bon Euesque Iudas qui a uẽ¬	amene ce bon Evesque Judas qui a ven¬
ung Euesche/ ⁊ estoit constitue sus ung	ung Evesche/ et estoit constitue sus ung
Diocese/ leq̃l est ce? ou est cest Euesche?	Diocese/ lequel est ce? ou est cest Evesche?
cõbien uault il in portatis? Certes point	combien vault il in portatis? Certes point
de lieu na eu: mais il deuoit prescher cõe	de lieu n’a eu: mais il devoit prescher come
ung Diocese. Mais bien luy cõuiẽt auec	ung Diocese. Mais bien luy convient avec
les Euesques qui au lieu de porter la pa	les Evesques qui au lieu de porter la pa¬
rolle de Dieu/ portẽt la bourse desrobãs	rolle de Dieu/ portent la bourse desrobans
ce que doit uenir aux paoures/ ⁊ uendẽt	ce que doit venir aux paovres/ et vendent
paoures ames au diable par toute idola	paovres ames au diable par toute idola¬
trie ⁊ superstitiõ/ mais qͥlz ayent argent.	trie et superstition/ mais qu’ilz ayent argent.
Et si aucun parle cõtre eulx en le bãnis¬	Et si aucun parle contre eulx en le bannis¬
sant/ cest lauoir declaire estre heretique/	sant/ c’est l’avoir declaire estre heretique/
mort. Cecy est bien loing des Apostres/	mort. Cecy est bien loing des Apostres/
des Euãgelistes/ Prophetes/ Pasteurs	des Evangelistes/ Prophetes/ Pasteurs
⁊ Docteurs: nõ point par letres ⁊ seaux	et Docteurs: non point par letres et seaux
apres les grans bancquetz doctoreaux ⁊	apres les grans bancquetz doctoreaux et
esperit en iusnes/ oraisõs/ ⁊ sainctes prie	esperit en jusnes/ oraisons/ et sainctes prie¬
res/ ainsi qua este enuoye Sainct Paul.	res/ ainsi qu’a este envoye Sainct Paul.
Act.13. Et si Leglise estoit ainsi cõduicte/	Act.13. Et si L’eglise estoit ainsi conduicte/
le paoure peuple ne seroit ainsi mange et	le paovre peuple ne seroit ainsi mange et
gelique/ lon prieroit pour les ignorans/	gelique/ l’on prieroit pour les ignorans/
⁊ les Prestres ⁊ Prĩces des Iuifz Anne	et les Prestres et Princes des Juifz Anne
⁊ Cayphe ne cryeroient point/ oste/ oste/	et Cayphe ne cryeroient point/ oste/ oste/
crucifie/ crucifie/ faisãs que le sang inno¬	crucifie/ crucifie/ faisans que le sang inno¬
successeurs Danne et Cayphe suyuans	successeurs D’anne et Cayphe suyvans
bien leurs deuãtiers font par tout: ainsi	bien leurs devantiers font par tout: ainsi
quõ a faict a Iesus ⁊ ses Apostres/ font	qu’on a faict a Jesus et ses Apostres/ font
ilz a ceulx qui les ueulent suyure.	ilz a ceulx qui les veulent suyvre.
Uous estes fort cõtre les Euesq̃s. Allez	Vous estes fort contre les Evesques. Allez
dire ce que uoꝰ dictes a Paris ou es au¬	dire ce que vous dictes a Paris ou es au¬
tres uilles de france. Il est tout clair qͥl	tres villes de france. Il est tout clair qu’il
y a differẽce entre Leuesque ⁊ le Prestre.	y a difference entre L’evesque et le Prestre.
me aussi nest point une mesme chose des-	me aussi n’est point une mesme chose des-
dictz Apostres ⁊ des disciples. Or estoiẽt	dictz Apostres et des disciples. Or estoient
les Apostres Euesques cõe ie lay prouue	les Apostres Evesques come je l’ay prouve
de Iudas. Et ce que uous alleguez de	de Judas. Et ce que vous alleguez de
Prestre/ ce qui est uray. Car du degre de	Prestre/ ce qui est vray. Car du degre de
Prestrise on uiẽt a la dignite episcopale.	Prestrise on vient a la dignite episcopale.
Cela aussi que uous auez amene des	Cela aussi que vous avez amene des
Actes/ que S. Paul a faict appeller les	Actes/ que sainct Paul a faict appeller les
Euesques/ est dit pourtant que S. Paul	Evesques/ est dit pourtant que sainct Paul
fit la ung concil/ cõe alors ilz en auoient	fit la ung concil/ come alors ilz en avoient
la coustume: ⁊ en ce cõcil y auoit des Pre	la coustume: et en ce concil y avoit des Pre¬
stres ⁊ des Euesques/ non point que ces	stres et des Evesques/ non point que ces
lieu/ mais de plusieurs. Ainsi est uray	lieu/ mais de plusieurs. Ainsi est vray¬
semblable que les Euesques de lentour	semblable que les Evesques de l’entour
de Philippes estoiẽt poͬ ung cõcil assẽ¬	de Philippes estoient pour ung concil assem¬
blez a Philippes/ ⁊ Lapostre leͬ rescript/	blez a Philippes/ et L’apostre leur rescript/
Euesques. Et fault quen Leglise y aye	Evesques. Et fault qu’en L’eglise y aye
les distinctions de degrez/ ⁊ de dignitez/	les distinctions de degrez/ et de dignitez/
ainsi cõme parauant ay mõstre/ tant de	ainsi comme paravant ay monstre/ tant de
docteurs q̃ de pasteurs ⁊ superiorite pour	docteurs que de pasteurs et superiorite pour
partient de faire ordonnances/ ainsi quil	partient de faire ordonnances/ ainsi qu’il
est expedient/ ⁊ faire decisiõs cõme le cas	est expedient/ et faire decisions comme le cas
le requiert. Et ne fault confondre les di¬	le requiert. Et ne fault confondre les di¬
gnitez: mais que tout soit garde ainsi qͥl	gnitez: mais que tout soit garde ainsi qu’il
donnees/ ⁊ ne fault que a lappetit dung	donnees/ et ne fault que a l’appetit d’ung
chascun/ quelles soient chãgees. Il y a eu	chascun/ qu’elles soient changees. Il y a eu
tant de bons Euesques ⁊ tant de gẽs de	tant de bons Evesques et tant de gens de
bien iusques a present. Et ne fault pẽser	bien jusques a present. Et ne fault penser
cõbien que les ministres ⁊ prelatz dicelle	combien que les ministres et prelatz d’icelle
faillent en beaucop/ ne faisans leur offi¬	faillent en beaucop/ ne faisans leur offi¬
ce. Mais si fault il que Leglise demeu¬	ce. Mais si fault il que L’eglise demeu¬
re ⁊ les dignitez dicelle/ et son autorite et	re et les dignitez d’icelle/ et son autorite et
Le Predicant.	Le Predicant.
Ie suys tellement contre les Euesques/	Je suys tellement contre les Evesques/
que ie uouldroye auoir mis ma uie/ qͥlz	que je vouldroye avoir mis ma vie/ qu’ilz
fussent cõe les Apostres/ ausquelz uous	fussent come les Apostres/ ausquelz vous
ques icy/ quãd sera son bon plaisir/ il me	ques icy/ quand sera son bon plaisir/ il me
cõduyra iusques a Paris ⁊ autres lieux	conduyra jusques a Paris et autres lieux
de France/ ainsi quil est tout puyssant/	de France/ ainsi qu’il est tout puyssant/
seul gouuerneur du ciel ⁊ de la terre/ qui	seul gouverneur du ciel et de la terre/ qui
me uoulsit faire cõme a uous/ me ꝑmet¬	me voulsit faire comme a vous/ me permet¬
tant respõdre ⁊ rendre raison de ma foy.	tant respondre et rendre raison de ma foy.
Ie ne demanderoye point estre remis a	Je ne demanderoye point estre remis a
mon iuge: mais seroye trop cõtent (cõme	mon juge: mais seroye trop content (comme
maintenir ce que ie dy: ⁊ si ie ne le pouoye	maintenir ce que je dy: et si je ne le povoye
mõstrer/ estre mis a mort/ sans demãder	monstrer/ estre mis a mort/ sans demander
quõ fist aucũ desplaisir a Euesq̃/ Prestre	qu’on fist aucun desplaisir a Evesque/ Prestre
ou Moyne/ cõbien que clairemẽt ilz errẽt	ou Moyne/ combien que clairement ilz errent
⁊ erreurs. Uous declairez dune belle sor	et erreurs. Vous declairez d’une belle sor¬
te S. Paul/ ou il parle de linstitution de	te sainct Paul/ ou il parle de l’institution de
Leuesq̃. Sil estoit ainsi cõe uous dictes	L’evesque. S’il estoit ainsi come vous dictes
quilz fussent diuers/ ce qui ne peult estre:	qu’ilz fussent divers/ ce qui ne peult estre:
te.1. Pourquoy auoir parle de lestat de	te.1. Pourquoy avoir parle de l’estat de
Leuesq̃ na parle du Prestre/ nest il pas	L’evesque n’a parle du Prestre/ n’est il pas
aussi necessaire cõe des Diacres? Il par¬	aussi necessaire come des Diacres? Il par¬
le cõment ⁊ quelles doyuẽt estre les fem¬	le comment et quelles doyvent estre les fem¬
il point autant necessaire de parler des	il point autant necessaire de parler des
Prestres? Ou trouuez uous que le cõcil	Prestres? Ou trouvez vous que le concil
fut assẽble a Milet/ ou a Philippes? Et	fut assemble a Milet/ ou a Philippes? Et
si le cõcil fut assemble a Philippes ⁊ que	si le concil fut assemble a Philippes et que
il point de Prestres/ que S. Paul neust	il point de Prestres/ que sainct Paul n’eust
faict mẽtion de yceulx/ cõe des Diacres?	faict mention de yceulx/ come des Diacres?
Mais uous parlez a plaisir ⁊ sans escri¬	Mais vous parlez a plaisir et sans escri¬
pture. Il est tout uray quil y a en Le¬	pture. Il est tout vray qu’il y a en L’e¬
cõmencement diuerses graces ⁊ dons/ de	commencement diverses graces et dons/ de
science/ sapiẽce/ de prophetie/ des lãgues/	science/ sapience/ de prophetie/ des langues/
⁊ declaratiõs dicelles/ cõme il est escript.	et declarations d’icelles/ comme il est escript.
1.Corinth.12. Et tout cecy est pour seruir	1.Corinth.12. Et tout cecy est pour servir
ainsi Dieu a ordõne/ nõ point cõe uous	ainsi Dieu a ordonne/ non point come vous
dictes degrez de dignite ⁊ superiorite/ cõe	dictes degrez de dignite et superiorite/ come
il est de p̃sent: ou ung ignorãt est ꝯstitue	il est de present: ou ung ignorant est constitue
sus ung qui nest pas tant ignorãt cõme	sus ung qui n’est pas tant ignorant comme
nest si mal uiuant cõme lautre/ ⁊ tout ne	n’est si mal vivant comme l’autre/ et tout ne
sõt que dignitez ⁊ tiltres ambitieux. La	sont que dignitez et tiltres ambitieux. La
ou Apostre/ Pasteur/ Euesque/ ne sont q̃	ou Apostre/ Pasteur/ Evesque/ ne sont que
noms de seruice. Et ainsi parauãt Legli	noms de service. Et ainsi paravant L’egli¬
desolee/ sans Apostres/ Euangelistes/	desolee/ sans Apostres/ Evangelistes/
Prophetes/ Pasteurs/ Docteurs/ Lan¬	Prophetes/ Pasteurs/ Docteurs/ Lan¬
gues/ parauãt estoit entretenue ⁊ endo¬	gues/ paravant estoit entretenue et endo¬
ctrinee. Et y a eu de gẽs de bien/ les Apo	ctrinee. Et y a eu de gens de bien/ les Apo¬
cteurs: de quoy a present Euesq̃s ⁊ Pre¬	cteurs: de quoy a present Evesques et Pre¬
stres ne tiennent rien. Et uous ne cõtre¬	stres ne tiennent rien. Et vous ne contre¬
uenez uous point a tous ceulx qui ont	venez vous point a tous ceulx qui ont
escript? S. Ierosme na il point escript q̃	escript? sainct Jerosme n’a il point escript que
En lepistre a Tite dit: Idem est ergo	En l’epistre a Tite dit: Idem est ergo
presbyter qui episcopus. Le prestre donc	presbyter qui episcopus. Le prestre donc
est ung mesme que Leuesq̃. Et ne fault	est ung mesme que L’evesque. Et ne fault
que ceulx qui se disẽt de Leglise/ se ueul¬	que ceulx qui se disent de L’eglise/ se veul¬
sainctz personnages/ desquelz ne tiennẽt	sainctz personnages/ desquelz ne tiennent
rien/ non plus que Abrahã ⁊ les Prophe	rien/ non plus que Abraham et les Prophe¬
tes qui ont este deuant les Iuifz ne leur	tes qui ont este devant les Juifz ne leur
seruẽt rien: mais sont a leur condẽnatiõ.	servent rien: mais sont a leur condemnation.
nages/ ne seruent a ceulx qui se disent de	nages/ ne servent a ceulx qui se disent de
Leglise: lesquelz tous uiuent ⁊ enseignẽt	L’eglise: lesquelz tous vivent et enseignent
autrement que les Apostres ⁊ bons serui	autrement que les Apostres et bons servi¬
teurs de Dieu nõt enseigne ne tenu. Et	teurs de Dieu n’ont enseigne ne tenu. Et
stres ⁊ autres bons seruiteurs de Dieu/	stres et autres bons serviteurs de Dieu/
ueu quon faict ⁊ dit tout le contraire.	veu qu’on faict et dit tout le contraire.
Uous auez dit/ que Leuesque doit estre	Vous avez dit/ que L’evesque doit estre
mary dune femme: ⁊ est uray/ cõe le saĩct	mary d’une femme: et est vray/ come le sainct
Euesque estoit marie/ tout seroit ꝑdu/ ce	Evesque estoit marie/ tout seroit perdu/ ce
seroit la fin du mõde: mais sil a putains	seroit la fin du monde: mais s’il a putains
⁊ macquereaux la maison pleine/ qui luy	et macquereaux la maison pleine/ qui luy
iouent finesse lon nen faict que rire. Si le	jouent finesse l’on n’en faict que rire. Si le
peu de faict. Si lon passe le commande¬	peu de faict. Si l’on passe le commande¬
ment des Euesq̃s ou du Pape en uian¬	ment des Evesques ou du Pape en vian¬
des ou iours/ tous cryent au feu. Par¬	des ou jours/ tous cryent au feu. Par¬
quoy tous uoyent clairemẽt Dieu estre	quoy tous voyent clairement Dieu estre
hommes ont commande estans hors de	hommes ont commande estans hors de
la foy comme Lapostre monstre. 1.Ti¬	la foy comme L’apostre monstre. 1.Ti¬
mothee.4. estre garde estroictement: et	mothee.4. estre garde estroictement: et
Dieu est soubz lhomme/ ⁊ est moins hon	Dieu est soubz l’homme/ et est moins hon¬
demnation tombera sur ceulx qui ainsi	demnation tombera sur ceulx qui ainsi
se lieuẽt cõtre Dieu sattribuãs la puys¬	se lievent contre Dieu s’attribuans la puys¬
sance quilz nont point. Car mauldict est	sance qu’ilz n’ont point. Car mauldict est
celuy qui adiouste ou diminue aux com¬	celuy qui adjouste ou diminue aux com¬
donnance. Car ainsi que parauant assez	donnance. Car ainsi que paravant assez
a este clairement monstre apres Iesus/ il	a este clairement monstre apres Jesus/ il
est moins permis ⁊ licite de bailler nou¬	est moins permis et licite de bailler nou¬
uelles ordonnances que apres Moyse ce	velles ordonnances que apres Moyse ce
ment Dieu assiste a Leglise du Pape la	ment Dieu assiste a L’eglise du Pape la
laissant en si grosse p̃unaysie et iniquite	laissant en si grosse punaysie et iniquite
est bien aueugle qui ne le uoit.	est bien aveugle qui ne le voit.
¶ Nostre Maistre auoir leu le	¶ Nostre Maistre avoir leu le
Leuesque ⁊ du Prestre dit:	L’evesque et du Prestre dit:
Lestat de Leuesque est autre que du Pre	L’estat de L’evesque est autre que du Pre¬
stre ⁊ sõt dignitez differẽtes. Et ne fault	stre et sont dignitez differentes. Et ne fault
que ceulx qui sont autrement que nostre	que ceulx qui sont autrement que nostre
ne raison changẽt ⁊ muẽt les ordõnãces	ne raison changent et muent les ordonnances
baillees par Iesus Christ/ qͥlz soiẽt maul	baillees par Jesus Christ/ qu’ilz soient maul¬
dictz cõme uous dictes. Car autremẽt il	dictz comme vous dictes. Car autrement il
fauldroit q̃ telle malediction ⁊ celle quest	fauldroit que telle malediction et celle qu’est
ceulx qui adioustent ou diminuẽt de ce qͥ	ceulx qui adjoustent ou diminuent de ce qui
est escript au liure/ uint sur les Apostres:	est escript au livre/ vint sur les Apostres:
ueu quilz ont chãge la forme de baptizer	veu qu’ilz ont change la forme de baptizer
laquelle nostre Seigͬ auoit baillee/ leur	laquelle nostre Seigneur avoit baillee/ leur
les baptizans au nom du pere ⁊ du filz ⁊	les baptizans au nom du pere et du filz et
du sainct esperit. Matth.28. Ce qͥlz nont	du sainct esperit. Matth.28. Ce qu’ilz n’ont
point obserue: mais ont baptize seulemẽt	point observe: mais ont baptize seulement
au nom de Iesus Christ. Act.2.8. Et sil	au nom de Jesus Christ. Act.2.8. Et s’il
forme du baptesme. Il est bien loysible	forme du baptesme. Il est bien loysible
aux p̃latz de leglise de faire ordonnãces	aux prelatz de l’eglise de faire ordonnances
⁊ cõstitutions aussi bien q̃ aux Apostres	et constitutions aussi bien que aux Apostres
de changer la forme si euidẽtement/ com	de changer la forme si evidentement/ com¬
diction de Dieu. Ou il fault q̃ uous con	diction de Dieu. Ou il fault que vous con¬
fessez q̃ les Apostres ont este mauldictz:	fessez que les Apostres ont este mauldictz:
qui seroit errer grandement.	qui seroit errer grandement.
Le Predicant.	Le Predicant.
uer ne fault dire autre q̃ il est ainsi/ uous	ver ne fault dire autre que il est ainsi/ vous
prouuerez que Leuesque ⁊ le Prestre sõt	prouverez que L’evesque et le Prestre sont
deux sans escripture ⁊ sans rien. Uous	deux sans escripture et sans rien. Vous
auez ouy les passages de lescripture/ et	avez ouy les passages de l’escripture/ et
des quatre Docteurs approuuez. Mais	des quatre Docteurs approuvez. Mais
tout ce ne uous faict rien. Uous amenez	tout ce ne vous faict rien. Vous amenez
lestat de Leuesque/ duq̃l nest faicte men¬	l’estat de L’evesque/ duquel n’est faicte men¬
tion aucune en lescripture. Touchant	tion aucune en l’escripture. Touchant
chãge la forme que nostre Seigñr auoit	change la forme que nostre Seigneur avoit
baillee: uoꝰ leur faictes tort. Car ilz lont	baillee: vous leur faictes tort. Car ilz l’ont
bien gardee. Et pleut a Dieu que ainsi	bien gardee. Et pleut a Dieu que ainsi
quilz lont tenue/ ⁊ tout ce que nr̃e Seigͬ	qu’ilz l’ont tenue/ et tout ce que notre Seigneur
ilz nont point crache sur ceulx qͥlz bapti¬	ilz n’ont point crache sur ceulx qu’ilz bapti¬
zoient/ ne faictz les adiuremens q̃ le dia¬	zoient/ ne faictz les adjuremens que le dia¬
ble sortit du corps des enfans/ cõme lon	ble sortit du corps des enfans/ comme l’on
faict maintenãt cõtre Dieu ⁊ sa parolle/	faict maintenant contre Dieu et sa parolle/
Seigñr a dict/ laissez uenir les enfans a	Seigneur a dict/ laissez venir les enfans a
moy ⁊ ne les defendez de uenir/ car a telz	moy et ne les defendez de venir/ car a telz
est le royaume des cieulx) nont point le	est le royaume des cieulx) n’ont point le
diable au corps: mais sont sainctz. 1.Co¬	diable au corps: mais sont sainctz. 1.Co¬
mis ne sel ne huyle/ mais deaue pure et	mis ne sel ne huyle/ mais d’eaue pure et
nette ont baptize/ ⁊ en baptizant au nom	nette ont baptize/ et en baptizant au nom
de Iesus Christ/ ilz ont baptize au nom	de Jesus Christ/ ilz ont baptize au nom
du pere: pourtãt que celuy qui nye le filz/	du pere: pourtant que celuy qui nye le filz/
blemẽt qui cõfesse le filz/ il a le pere/ puis	blement qui confesse le filz/ il a le pere/ puis¬
que le pere est au filz/ ⁊ qui uoit le filz/ il	que le pere est au filz/ et qui voit le filz/ il
uoit le pere. Iehã.13. Ainsi qͥ dit le filz ⁊	voit le pere. Jehan.13. Ainsi qui dit le filz et
faict au nom du filz/ il dit ⁊ faict au nom	faict au nom du filz/ il dit et faict au nom
dire Iesus Christ fors que par le Sainct	dire Jesus Christ fors que par le Sainct
esperit. 1.Corin.12. Parquoy baptizans	esperit. 1.Corin.12. Parquoy baptizans
au nom de Iesus/ ilz ont baptize au nom	au nom de Jesus/ ilz ont baptize au nom
du pere et du filz et du sainct esperit. Et	du pere et du filz et du sainct esperit. Et
sacremens/ ainsi q̃ les uniuersitez en par¬	sacremens/ ainsi que les universitez en par¬
lent en leurs quatriesmes des sentences/	lent en leurs quatriesmes des sentences/
q̃ par la uertu de certaines parolles pro¬	que par la vertu de certaines parolles pro¬
ferees sur la matiere reqͥse auec intẽtion/	ferees sur la matiere requise avec intention/
rit est dõne: tellement q̃ celuy qui chãge¬	rit est donne: tellement que celuy qui change¬
roit ces parolles/ ou laisseroit aucunes	roit ces parolles/ ou laisseroit aucunes
dicelles qui sont de lessence (cõe ilz disẽt)	d’icelles qui sont de l’essence (come ilz disent)
le sacremẽt ne seroit dõne/ ne la uertu di¬	le sacrement ne seroit donne/ ne la vertu d’i¬
ne des seruiteurs de Dieu: mais payẽne	ne des serviteurs de Dieu: mais payenne
⁊ dẽchanteurs ⁊ magiciens qui attribuẽt	et d’enchanteurs et magiciens qui attribuent
leurs follies a leurs signes et parolles/	leurs follies a leurs signes et parolles/
tellement que si aucune parolle ou signe	tellement que si aucune parolle ou signe
ainsi des choses de Leglise de Iesus. La¬	ainsi des choses de L’eglise de Jesus. La¬
quelle ne compte point les parolles ⁊ les	quelle ne compte point les parolles et les
motz: mais sarreste a la sentẽce ⁊ au sens	motz: mais s’arreste a la sentence et au sens
ce que bien appert aux Apostres ⁊ Euan	ce que bien appert aux Apostres et Evan¬
Moyse en autres parolles ⁊ forme quilz	Moyse en autres parolles et forme qu’ilz
nõt parle/ ne gardãs point les parolles	n’ont parle/ ne gardans point les parolles
⁊ motz/ mais le sens: ⁊ mesmes en recitãt	et motz/ mais le sens: et mesmes en recitant
les parolles que Iesus a dictes ung les	les parolles que Jesus a dictes ung les
Matthieu dit: que Iesus a dit: Beuuez	Matthieu dit: que Jesus a dit: Beuvez
de cecy tous. Car cest mon sang. Matth.	de cecy tous. Car c’est mon sang. Matth.
26. et Luc.22. dit: Ce calice est le nou¬	26. et Luc.22. dit: Ce calice est le nou¬
ueau testament en mon sang. Et les Pre	veau testament en mon sang. Et les Pre¬
bas/ ne disent ainsi que aucun aye escript.	bas/ ne disent ainsi que aucun aye escript.
mais ont parolles adioustees qui ne sõt	mais ont parolles adjoustees qui ne sont
en aucun des Euãgelistes ne en la saĩcte	en aucun des Evangelistes ne en la saincte
escripture. Et neãtmoins selon leur do¬	escripture. Et neantmoins selon leur do¬
a baillee/ le sacremẽt ne uault rien. Or	a baillee/ le sacrement ne vault rien. Or
ne scauroient ilz monstrer les propres et	ne scauroient ilz monstrer les propres et
formelz motz que Iesus a dit. Parquoy	formelz motz que Jesus a dit. Parquoy
tout leur cas est incertain selon leur do¬	tout leur cas est incertain selon leur do¬
ctrine ⁊ obseruation des Apostres: mais	ctrine et observation des Apostres: mais
est uraye enchanterie astreincte a lieu/ a	est vraye enchanterie astreincte a lieu/ a
temps/ a habitz/ a signes/ a tornemens ⁊	temps/ a habitz/ a signes/ a tornemens et
mines/ cõme les enchanteurs.	mines/ comme les enchanteurs.
Uous uoulez dõc dire que les Apostres	Vous voulez donc dire que les Apostres
ont garde la forme de baptizer que Iesꝰ	ont garde la forme de baptizer que Jesus
a baillee. Ie uous demãde si maintenãt	a baillee. Je vous demande si maintenant
seroit loysible de baptizer ainsi/ ⁊ si ceulx	seroit loysible de baptizer ainsi/ et si ceulx
au nom de Iesus Christ. Respondez tost	au nom de Jesus Christ. Respondez tost
a ce point ⁊ categoriquement.	a ce point et categoriquement.
Le Predicant.	Le Predicant.
Quand il ny auroit point de scandale/ il	Quand il n’y auroit point de scandale/ il
est de ceulx qui sont baptizez par le mi¬	est de ceulx qui sont baptizez par le mi¬
nistre/ le uray baptesme ne gist point en	nistre/ le vray baptesme ne gist point en
leaue ⁊ parolles: Car tel baptesme est dõ	l’eaue et parolles: Car tel baptesme est don¬
ne aux bons ⁊ aux meschans estant ui¬	ne aux bons et aux meschans estant vi¬
gist en la foy que Dieu dõne/ en lesperit	gist en la foy que Dieu donne/ en l’esperit
de Iesus qui est donne de Dieu. Et tel	de Jesus qui est donne de Dieu. Et tel
baptesme nest dõne q̃ aux esleuz ⁊ urays	baptesme n’est donne que aux esleuz et vrays
enfans de Dieu: duquel Iesus baptize ⁊	enfans de Dieu: duquel Jesus baptize et
monstre. Matthieu.4.	monstre. Matthieu.4.
Nostre Maistre parlant au	Nostre Maistre parlant au
Secretaire dit:	Secretaire dit:
Escriuez celle propositiõ/ escriuez la: car	Escrivez celle proposition/ escrivez la: car
Berne: Messieurs quõ enuoye ceste pro¬	Berne: Messieurs qu’on envoye ceste pro¬
position a Paris a Louain/ ⁊ par toutes	position a Paris a Lovain/ et par toutes
les Uniuersitez/ il ny a Uniuersite qͥ ne	les Universitez/ il n’y a Universite qui ne
la condemne comme faulse et erronee.	la condemne comme faulse et erronee.
stre Seigneur a donnee/ cest trop errer.	stre Seigneur a donnee/ c’est trop errer.
Uous uoulez changer la forme que Ie¬	Vous voulez changer la forme que Je¬
sus a donnee.	sus a donnee.
Le Predicant.	Le Predicant.
saincte escripture quõ faille. Car de dire	saincte escripture qu’on faille. Car de dire
cela est faulx ⁊ erronee/ ⁊ iuger ainsi ma	cela est faulx et erronee/ et juger ainsi ma¬
gistralemẽt cõe uous auez de coustume.	gistralement come vous avez de coustume.
Il ny a si grosse beste qui ne puysse dire	Il n’y a si grosse beste qui ne puysse dire
scãdaleuse/ faisant mal aux aureilles/ ⁊	scandaleuse/ faisant mal aux aureilles/ et
telz motz desquelz uous usez. Monstrez	telz motz desquelz vous usez. Monstrez
quen faisant cõme les Apostres la ou il	qu’en faisant comme les Apostres la ou il
ny a point de scandale/ quon face mal.	n’y a point de scandale/ qu’on face mal.
de Berne sarrestẽt a la parolle de Dieu:	de Berne s’arrestent a la parolle de Dieu:
⁊ croyẽt plus a icelle qua toutes les Uni	et croyent plus a icelle qu’a toutes les Uni¬
uersitez/ uoire qua ung ange si descẽdoit	versitez/ voire qu’a ung ange si descendoit
du ciel/ quãd proposeroit autre que la pa	du ciel/ quand proposeroit autre que la pa¬
Nostre Maistre.	Nostre Maistre.
Uous faictes bel honneur a Messieurs	Vous faictes bel honneur a Messieurs
de Berne/ quilz croyẽt plus a uous qua	de Berne/ qu’ilz croyent plus a vous qu’a
toutes les Uniuersitez: uous uous ma¬	toutes les Universitez: vous vous ma¬
donne la raison/ pourquoy les Apostres	donne la raison/ pourquoy les Apostres
ont baptize autremẽt que Iesus na com	ont baptize autrement que Jesus n’a com¬
mãde: Ie la diray/ si plaict louyr. Au cõ¬	mande: Je la diray/ si plaict l’ouyr. Au com¬
mencemẽt quon p̃schoit Leuãgile/ apres	mencement qu’on preschoit L’evangile/ apres
de Iesus estoit fort odieux ⁊ peu estime	de Jesus estoit fort odieux et peu estime
du mõde. Et pourtãt les Apostres eurẽt	du monde. Et pourtant les Apostres eurent
reuelatiõ de chãger la forme de baptizer:	revelation de changer la forme de baptizer:
affin q̃ le nom de Iesus fust receu en hon	affin que le nom de Jesus fust receu en hon¬
Mais maintenant que le nom de Iesus	Mais maintenant que le nom de Jesus
est en honneur/ qui feroit autrement que	est en honneur/ qui feroit autrement que
baptizer en la forme que Iesus a baillee/	baptizer en la forme que Jesus a baillee/
il erreroit.	il erreroit.
Ou auez uous lentendemẽt de dire que	Ou avez vous l’entendement de dire que
iaye dict que Messieurs de Berne croyẽt	j’aye dict que Messieurs de Berne croyent
plus a moy qua toutes les Uniuersitez?	plus a moy qu’a toutes les Universitez?
Iay dit que Messieurs croyent plus a la	J’ay dit que Messieurs croyent plus a la
sitez. Et quil soit ainsi/ ien prens a tes¬	sitez. Et qu’il soit ainsi/ j’en prens a tes¬
moing toute lassistence/ et uous prie ne	moing toute l’assistence/ et vous prie ne
